"time","Q_m3pd"
2023-06-02,187.810531695804
2023-06-03,131.467372187063
2023-06-04,92.0271605309441
2023-06-05,64.4190123716609
2023-06-06,45.0933086601626
2023-06-07,31.5653160621138
2023-06-08,22.0957212434797
2023-06-09,15.4670048704358
2023-06-10,10.826903409305
2023-06-11,7.57883238651353
2023-06-12,5.30518267055947
2023-06-13,3.71362786939163
2023-06-14,2.59953950857414
2023-06-15,1.8196776560019
2023-06-16,1.27377435920133
2023-06-17,0.891642051440931
2023-06-18,0.624149436008651
2023-06-19,546.93596003732
2023-06-20,1980.42871136695
2023-06-21,1386.30009795686
2023-06-22,1057.73163054973
2023-06-23,740.412141384811
2023-06-24,518.288498969368
2023-06-25,362.801949278558
2023-06-26,253.96136449499
2023-06-27,177.772955146493
2023-06-28,124.441068602545
2023-06-29,87.1087480217817
2023-06-30,60.9761236152472
2023-07-01,42.683286530673
2023-07-02,29.8783005714711
2023-07-03,20.9148104000298
2023-07-04,14.6403672800208
2023-07-05,10.2482570960146
2023-07-06,7.17377996721022
2023-07-07,5.02164597704715
2023-07-08,3.51515218393301
2023-07-09,41.1683450675895
2023-07-10,28.8178415473127
2023-07-11,20.1724890831189
2023-07-12,14.1207423581832
2023-07-13,9.88451965072824
2023-07-14,1403.3649578866
2023-07-15,982.355470520618
2023-07-16,687.648829364433
2023-07-17,481.354180555103
2023-07-18,336.947926388572
2023-07-19,235.863548472
2023-07-20,165.1044839304
2023-07-21,115.57313875128
2023-07-22,80.9011971258961
2023-07-23,56.6308379881273
2023-07-24,39.6415865916891
2023-07-25,27.7491106141824
2023-07-26,19.4243774299277
2023-07-27,13.5970642009494
2023-07-28,9.51794494066456
2023-07-29,6.66256145846519
2023-07-30,4.66379302092563
2023-07-31,3.26465511464794
2023-08-01,2.28525858025356
2023-08-02,1.59968100617749
2023-08-03,799.261158808992
2023-08-04,559.482811166294
2023-08-05,391.637967816406
2023-08-06,274.146577471484
2023-08-07,191.902604230039
2023-08-08,134.331822961027
2023-08-09,94.0322760727191
2023-08-10,65.8225932509034
2023-08-11,46.0758152756324
2023-08-12,32.2530706929427
2023-08-13,22.5771494850599
2023-08-14,15.8040046395419
2023-08-15,11.0628032476793
2023-08-16,7.74396227337553
2023-08-17,5.42077359136287
2023-08-18,3.79454151395401
2023-08-19,2.65617905976781
2023-08-20,1.85932534183747
2023-08-21,1.30152773928623
2023-08-22,0.911069417500359
2023-08-23,0.637748592250251
2023-08-24,0.446424014575176
2023-08-25,0.312496810202623
2023-08-26,0.218747767141836
2023-08-27,0.153123436999285
2023-08-28,1218.09158767717
2023-08-29,852.664111374019
2023-08-30,596.864877961814
2023-08-31,417.80541457327
2023-09-01,292.463790201289
2023-09-02,204.724653140902
2023-09-03,143.307257198631
2023-09-04,100.315080039042
2023-09-05,70.2205560273294
2023-09-06,49.1543892191306
2023-09-07,34.4080724533914
2023-09-08,24.085650717374
2023-09-09,907.955282563265
2023-09-10,635.568697794286
2023-09-11,444.898088456
2023-09-12,311.4286619192
2023-09-13,218.00006334344
2023-09-14,152.600044340408
2023-09-15,106.820031038286
2023-09-16,74.7740217267999
2023-09-17,755.906107194465
2023-09-18,529.134275036125
2023-09-19,370.393992525288
2023-09-20,259.275794767701
2023-09-21,181.493056337391
2023-09-22,127.045139436174
2023-09-23,1315.98648395292
2023-09-24,921.190538767045
2023-09-25,644.833377136932
2023-09-26,451.383363995852
2023-09-27,315.968354797097
2023-09-28,221.177848357968
2023-09-29,154.824493850577
2023-09-30,108.377145695404
2023-10-01,75.8640019867829
2023-10-02,53.104801390748
2023-10-03,37.1733609735236
2023-10-04,26.0213526814665
2023-10-05,18.2149468770266
2023-10-06,12.7504628139186
2023-10-07,8.92532396974302
2023-10-08,6.24772677882011
2023-10-09,4.37340874517408
2023-10-10,3.06138612162186
2023-10-11,2.1429702851353
2023-10-12,1.50007919959471
2023-10-13,1.0500554397163
2023-10-14,0.735038807801408
2023-10-15,0.514527165460985
2023-10-16,0.36016901582269
2023-10-17,0.252118311075883
2023-10-18,0.176482817753118
2023-10-19,0.123537972427183
2023-10-20,191.696677819615
