"datetime","reference_datetime","model_id","site_id","parameter","family","prediction","variable","depth_m","duration","project_id"
2024-08-05,2024-07-28,"fDOM_AR_dwh","fcre",18,"ensemble",21.5888294501669,"fDOM_QSU_mean",1.6,"P1D","vera4cast"
2024-08-06,2024-07-28,"fDOM_AR_dwh","fcre",18,"ensemble",22.0225193281907,"fDOM_QSU_mean",1.6,"P1D","vera4cast"
2024-08-07,2024-07-28,"fDOM_AR_dwh","fcre",18,"ensemble",19.7276829992347,"fDOM_QSU_mean",1.6,"P1D","vera4cast"
2024-08-08,2024-07-28,"fDOM_AR_dwh","fcre",18,"ensemble",19.293375889199,"fDOM_QSU_mean",1.6,"P1D","vera4cast"
2024-08-09,2024-07-28,"fDOM_AR_dwh","fcre",18,"ensemble",19.1071465337571,"fDOM_QSU_mean",1.6,"P1D","vera4cast"
2024-08-10,2024-07-28,"fDOM_AR_dwh","fcre",18,"ensemble",18.5929301209729,"fDOM_QSU_mean",1.6,"P1D","vera4cast"
2024-08-11,2024-07-28,"fDOM_AR_dwh","fcre",18,"ensemble",18.9776060095974,"fDOM_QSU_mean",1.6,"P1D","vera4cast"
2024-08-12,2024-07-28,"fDOM_AR_dwh","fcre",18,"ensemble",18.064650410412,"fDOM_QSU_mean",1.6,"P1D","vera4cast"
2024-08-13,2024-07-28,"fDOM_AR_dwh","fcre",18,"ensemble",17.7405553324921,"fDOM_QSU_mean",1.6,"P1D","vera4cast"
2024-07-28,2024-07-28,"fDOM_AR_dwh","fcre",19,"ensemble",18.5570239195647,"fDOM_QSU_mean",1.6,"P1D","vera4cast"
2024-07-29,2024-07-28,"fDOM_AR_dwh","fcre",19,"ensemble",18.3306590883073,"fDOM_QSU_mean",1.6,"P1D","vera4cast"
2024-07-30,2024-07-28,"fDOM_AR_dwh","fcre",19,"ensemble",20.3062707706078,"fDOM_QSU_mean",1.6,"P1D","vera4cast"
2024-07-31,2024-07-28,"fDOM_AR_dwh","fcre",19,"ensemble",19.2466147982597,"fDOM_QSU_mean",1.6,"P1D","vera4cast"
2024-08-01,2024-07-28,"fDOM_AR_dwh","fcre",19,"ensemble",18.7534527777667,"fDOM_QSU_mean",1.6,"P1D","vera4cast"
2024-08-02,2024-07-28,"fDOM_AR_dwh","fcre",19,"ensemble",19.7985440487898,"fDOM_QSU_mean",1.6,"P1D","vera4cast"
2024-08-03,2024-07-28,"fDOM_AR_dwh","fcre",19,"ensemble",21.3825314733715,"fDOM_QSU_mean",1.6,"P1D","vera4cast"
2024-08-04,2024-07-28,"fDOM_AR_dwh","fcre",19,"ensemble",21.127950965218,"fDOM_QSU_mean",1.6,"P1D","vera4cast"
2024-08-05,2024-07-28,"fDOM_AR_dwh","fcre",19,"ensemble",21.3511078522376,"fDOM_QSU_mean",1.6,"P1D","vera4cast"
2024-08-06,2024-07-28,"fDOM_AR_dwh","fcre",19,"ensemble",22.6651512580991,"fDOM_QSU_mean",1.6,"P1D","vera4cast"
2024-08-07,2024-07-28,"fDOM_AR_dwh","fcre",19,"ensemble",22.8140257155078,"fDOM_QSU_mean",1.6,"P1D","vera4cast"
2024-08-08,2024-07-28,"fDOM_AR_dwh","fcre",19,"ensemble",22.9562312267022,"fDOM_QSU_mean",1.6,"P1D","vera4cast"
2024-08-09,2024-07-28,"fDOM_AR_dwh","fcre",19,"ensemble",22.6387510121064,"fDOM_QSU_mean",1.6,"P1D","vera4cast"
2024-08-10,2024-07-28,"fDOM_AR_dwh","fcre",19,"ensemble",23.0361428939803,"fDOM_QSU_mean",1.6,"P1D","vera4cast"
2024-08-11,2024-07-28,"fDOM_AR_dwh","fcre",19,"ensemble",26.2448388587247,"fDOM_QSU_mean",1.6,"P1D","vera4cast"
2024-08-12,2024-07-28,"fDOM_AR_dwh","fcre",19,"ensemble",25.096968639157,"fDOM_QSU_mean",1.6,"P1D","vera4cast"
